Offen,,Titel,Kategorie,Beschreibung,Institution&ast;,Erstgespräch
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/einschulbereiche' target='_blank'>Schuleinzugsgebiete</a>,"Bildung, Kultur und Sport","Die Flächen der Gebiete oder eine Liste von den Adressen, die zu jeder Schule gehören",Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/apothekenstandorte-wfs-58e80465' target='_blank'>Apotheken</a>,Gesundheit,Standorte aller Apotheken,SenASGIVA - LaGeSo,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/simple_search_wwwberlindepolizeiserviceversammlungsbehoerdeversammlungenaufzuege' target='_blank'>Angemeldete Versammlungen (Demos)</a>,"Justiz, Rechtssystem und öffentliche Sicherheit","Eine Datenbank von angemeldeten Demos in Berlin mit Name der organisierenden Organization/Person, gemeldeten Zweck der Demo, gemeldeten Ort oder Route, Datum usw. ",Polizei Berlin,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/fahrraddiebstahl-berlin' target='_blank'>Fahrraddiebstähle</a>,"Justiz, Rechtssystem und öffentliche Sicherheit",Angabe von genauen Standorten der Fahrraddiebstähle,Polizei Berlin,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/unfälle' target='_blank'>Verkehrsunfälle</a>,"Justiz, Rechtssystem und öffentliche Sicherheit",Georeferenzierte Unfälle mit zusätzlichen Informationen zur Unfallursache und Angabe zu Personenschaden,Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/ordnungsamt-online' target='_blank'>Anliegenmanagement</a>,Regierung und öffentlicher Sektor,"Bürgerbriefe und -anträge mit Datum, Standort, Art der Bewschwerde, Status, usw.",SenInnSport - Landesamt für Bürger- und Ordnungsangelegenheiten (LABO),
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze?q=wahlbezirke' target='_blank'>Wahlbezirke</a>,Regierung und öffentlicher Sektor,"Geodaten zu Wahlbezirken, Wahlkreisen und Wahllokalen",Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/wahl' target='_blank'>Wahlergebnisse</a>,Regierung und öffentlicher Sektor,"Wahlergebnisse und Wahlbeteiligung zu Europa-, Bundestags-, Landtags- und Kommunalwahlen",Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/baufertigstellungen-wms-c5495c42' target='_blank'>Baufertigstellungen</a>,Stadtentwicklung und Wohnen,"Baufertigstellungen von neuen Gebäuden, mit Angaben zu Standort, Gebäudeart, Baustoffart, usw. ",Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze?q=Bodenrichtwerte&tags=Bodenrichtwertatlas&sort=score+desc%2C+metadata_modified+desc' target='_blank'>Bodenrichtwerte</a>,Stadtentwicklung und Wohnen,Daten aus dem Berlin Gutachterausschuss zu Bodenrichtwerten in der Stadt,SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/freiflachenentwicklung-umweltatlas-wfs-39cca5ea' target='_blank'>Brachflächen</a>,Stadtentwicklung und Wohnen,Standorte aller Brachflächen,SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/erhaltungsverordnungsgebiete-%C2%A7-172-baugb-wms' target='_blank'>Erhaltungsverordnungen (Milieuschutz)</a>,Stadtentwicklung und Wohnen,Flächengeometrien von Milieuschutzgebieten,SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/fl%C3%A4chennutzung-stadtstruktur-2015-und-versiegelung-2016-umweltatlas-wfs' target='_blank'>Flächennutzungen</a>,Stadtentwicklung und Wohnen,"Geodaten zur Flächennutzung nach Art der Nutzung (Wohnbaufläche, gewerbliche Baufläche, usw.)",SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/alkis-berlin-amtliches-liegenschaftskatasterinformationssystem' target='_blank'>Liegenschaftskataster</a>,Stadtentwicklung und Wohnen,Geodaten des amtlichen Liegenschaftskatasters mit Daten zu Grundstücken und Gebäuden,SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/lebensweltlich-orientierte-räume-lor-planungsräume-01012021-wfs' target='_blank'>Verwaltungsgebiete (administrative Gebietseinheiten)</a>,Stadtentwicklung und Wohnen,"Flächen der Stadtgebiete, Bezirke und Lebensweltlich orientierte Räume (LOR) von Berlin",Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/adressen-berlin-wfs-634ab8ba' target='_blank'>Adressen</a>,Stadtraum,Geodaten (Punktgeometrien) aller Adressen,Amt für Statistik Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/stra%C3%9Fenbefahrung-2014-fahrradst%C3%A4nder-wfs' target='_blank'>Fahrradstellplätze</a>,Stadtraum,Standorte alle Fahrradstellplätze,SenMVKU - Abteilung Mobilität,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/gr%C3%BCnanlagenbestand-berlin-einschl-der-%C3%B6ffentlichen-spielpl%C3%A4tze-gr%C3%BCnanlagen-wfs' target='_blank'>Öffentliche Grünflächen und Spielplätze</a>,Stadtraum,"Alle öffentliche Grünflächen (Spielplätze, Parkanlagen, Ausgleichsflächen, Wälder, Urban Gardening, Kleingärten) als Flächengeometrien",SenMVKU - Abteilung Mobilität,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/standorte-der-öffentlichen-toiletten' target='_blank'>Öffentliche Toiletten</a>,Stadtraum,Standorte aller öffentlichen Toiletten und Information zur Behindertengerechtigkeit.,SenMVKU - Abteilung Grundsatz,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/abfallbehälter%20OR%20recycling-container' target='_blank'>Öffentliche Mülleimer und Wertstoffcontainer</a>,Stadtraum,"Standorte von öffentlichen Mülleimern und Wertstoff-Containern und Art des Wertstoffs (Altkleider, Glas, Altpapier, ...)",SenMVKU,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/3d-geb%C3%A4udemodelle-im-level-detail-2-lod-2-atom' target='_blank'>Stadtmodell 3D</a>,Stadtraum,3D Geodaten zum Stadtplan,SenSBW,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/karte-von-berlin-15000-k5-farbausgabe' target='_blank'>Stadtpläne</a>,Stadtraum,"Stadtkartenwerk, inklusive Eigenschaften wie Gebäudenumrisse, Straßen, Grenzen, usw.",Bezirksamt Friedrichshain-Kreuzberg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/detailnetz-stra%C3%9Fenabschnitte-wfs'' target='_blank'>Straßenverzeichnis</a>,Stadtraum,"Auskünfte aus dem öffentlichen Straßenverzeichnis (als Flächengeometrie) zu allen öffentlichen gewidmeten Straßen, inklusive Angaben wie Breite der Straße",SenMVKU - Abteilung Mobilität,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://www.vbb.de/vbb-services/api-open-data/aufzugsstoerungen-rss-feed/' target='_blank'>Aufzüge und Rolltreppen an Haltestellen</a>,Stadtraum,Liste der Aufzüge und der Aufzugsstörungen BVG,Verkehrsverbund Berlin-Brandenburg,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/badegewasserqualitat-wfs-6ba85d36' target='_blank'>Badegewässer</a>,Umwelt,Wasserqualität-Indikatoren für Badegewässer,SenASGIVA - LaGeSo,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/gewässerkundliche-messdaten' target='_blank'>Grundwasser Monitoring</a>,Umwelt,Ergebnisse der durchgeführten Grundwasseruntersuchungen,SenMVKU - Abteilung Integrativer Umweltschutz,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze?title=CO2&field_license_tid=All&field_publisher_tid=All&field_geo_granularity_tid=All&field_temporal_granularity_tid=All&field_geo_coverage_tid=All&state=open' target='_blank'>Klimabilanz</a>,Umwelt,"Angaben zu verschiedenen Energie-Indikatoren wie CO2 Gesamt, CO2 pro Kopf, Energie nach Bereichsverbrauch, usw.","SenASGIVA - Landesamt für Arbeitsschutz, Gesundheitsschutz und technische Sicherheit Berlin",
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/search/node/l%C3%A4rmkarte' target='_blank'>Lärm</a>,Umwelt,Lärmbelastung verschiedener Stadtteile,SenMVKU,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/luftdaten-berlin' target='_blank'>Emissionskataster</a>,Umwelt,Aktuelle Messungen der Messestellen zu Luftschadstoffen in Berlin,SenMVKU,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/solaranlagen-summe-der-st-anlagen-pro-postleitzahl-umweltatlas-wfs' target='_blank'>Solarenergie</a>,Umwelt,Potenziale für Solarenergie auf Dächern und registrierte Solarthermie- und Photovoltaikanlagen,SenWEB,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://fbinter.stadt-berlin.de/fb/index.jsp?loginkey=zoomStart&mapId=k_es_stwbg@senstadt' target='_blank'>Parkplätze</a>,Verkehr,"Standorte mit Bezeichnung der öffentlichen Parkplätze (PKW-, Motorrad-, Wohnmobil/Wohnwagen-, Busparkplätze und Behindertenparkplätze)","SenMVKU - Abteilung Umweltpolitik, Kreislaufwirtschaft und Imissionsschutz",
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/lichtsignalanlagen-wfs-2cbfacc6' target='_blank'>Ampelanlagen</a>,Verkehr,Standorte der Lichtsignalanlagen,SenMVKU - Abteilung Mobilität,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/baustellen-sperrungen-und-sonstige-storungen-von-besonderem-verkehrlichem-interesse' target='_blank'>Baustellen</a>,Verkehr,"Termine für Baubeginn und Bauende für akutelle und geplante Vorhaben, sowie Geodaten zu den Standorten/Strecken der Baustellen",SenMVKU,
ja,,<a style='text-decoration: underline; line-height: 1.4;color: #222' href='https://daten.berlin.de/datensaetze/koordinaten-der-zugangsm%C3%B6glichkeiten-zu-stationen-0' target='_blank'>Haltestellen</a>,Verkehr,"Standorte Haltestellen und informationen zu Linien, die dort halten",Verkehrsverbund Berlin-Brandenburg,
